policy,budget,coverage,setsize,ineff_reduction,slack
随机,0.1,0.9001344989912575,1.433422999327505,0.012104909213181081,0.003367003367003367
随机,0.25,0.9092131809011432,1.4112306657700067,0.03429724277067936,0.004037685060565276
随机,0.5,0.9240080699394755,1.3705447209145931,0.0749831876260929,0.006724949562878279
conf_nlu(下游),0.1,0.9092131809011432,1.3392737054472093,0.10625420309347677,0.04040404040404041
conf_nlu(下游),0.25,0.933422999327505,1.289172831203766,0.15635507733692,0.02557200538358008
conf_nlu(下游),0.5,0.9482178883658372,1.2989240080699396,0.14660390047074645,0.017484868863483525
sz_asr(平凡强基线),0.1,0.9058507061197041,1.3170813718897108,0.12844653665097527,0.04713804713804714
sz_asr(平凡强基线),0.25,0.9246805648957633,1.2666442501681237,0.17888365837256237,0.029609690444145357
sz_asr(平凡强基线),0.5,0.9361129791526563,1.269334229993275,0.17619367854741097,0.01613987895090787
word_lp_std(单ASR置信),0.1,0.9095494283792872,1.4071956960322798,0.03833221250840624,0.006734006734006734
word_lp_std(单ASR置信),0.25,0.9273705447209146,1.3722259583053127,0.07330195023537334,0.009421265141318977
word_lp_std(单ASR置信),0.5,0.9418291862811029,1.335574983187626,0.10995292535306,0.008742434431741762
复合(可部署方法),0.1,0.9082044384667115,1.3117014122394082,0.13382649630127785,0.037037037037037035
复合(可部署方法),0.25,0.9226630800268998,1.2636180228648286,0.18190988567585742,0.02826379542395693
复合(可部署方法),0.5,0.9344317417619368,1.2652992602555482,0.18022864828513785,0.01546738399462004
oracle(真Δ),0.1,0.9115669132481506,1.277740416946873,0.16778749159381312,0.050505050505050504
oracle(真Δ),0.25,0.9233355749831876,1.2273032952252858,0.21822461331540022,0.029609690444145357
oracle(真Δ),0.5,0.9270342972427706,1.2273032952252858,0.21822461331540022,0.01546738399462004
